2021-08-03 16:07:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2021-08-03 16:08:08 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-08-03 16:08:21 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2021-08-03 16:08:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-08-03 16:08:26 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-08-03 16:08:26 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-08-03 16:08:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-08-03 16:08:27 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-08-03 16:08:27 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 18380 ms
2021-08-03 16:08:36 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-08-03 16:08:50 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2021-08-03 16:08:50 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2021-08-03 16:08:50 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2021-08-03 16:08:50 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41026e5c, org.springframework.security.web.context.SecurityContextPersistenceFilter@4de158ca, org.springframework.security.web.header.HeaderWriterFilter@48d31d25, org.springframework.security.web.csrf.CsrfFilter@30a62a5b, org.springframework.security.web.authentication.logout.LogoutFilter@63c4d16, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@65503a26, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@77998ea7, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@12421766, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@77d54a41, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@d180961, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@87220f1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e44cb34, org.springframework.security.web.session.SessionManagementFilter@6f65a203, org.springframework.security.web.access.ExceptionTranslationFilter@5b59c3d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6d0a14c2]
2021-08-03 16:08:50 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-08-03 16:08:50 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-08-03 16:08:50 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-08-03 16:08:50 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 74.503 seconds (JVM running for 92.645)
2021-08-03 16:08:52 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-08-03 16:08:52 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-08-03 16:08:52 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 43 ms
2021-08-03 16:09:02 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-6387103224881118969/config-client-twitter_to_kafka.yml
2021-08-03 16:09:02 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-6387103224881118969/config-client.yml
2021-08-03 16:48:02 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-6387103224881118969/config-client-kafka_to_elastic.yml
2021-08-03 16:48:02 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-6387103224881118969/config-client.yml
2021-08-03 16:49:03 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-6387103224881118969/config-client-kafka_to_elastic.yml
2021-08-03 16:49:03 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-6387103224881118969/config-client.yml
2021-08-03 16:51:47 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
